# column 0: Wavelength [micron]
# column 1: Total attenuated SED [Jy]
# column 2: Primary sources attenuated SED [Jy]
# column 3: Primary emission [W/Hz]
# column 4: Evolved stellar populations emission [W/Hz]
# 
7.2452e-01 5.9785e+03 5.9680e+03 3.2744e+26 3.1942e+26
7.4334e-01 6.6618e+03 6.6492e+03 3.6163e+26 3.5332e+26
7.6264e-01 6.8242e+03 6.8092e+03 3.6870e+26 3.6028e+26
7.8245e-01 6.8063e+03 6.7885e+03 3.6813e+26 3.5979e+26
8.0277e-01 7.1822e+03 7.1611e+03 3.8740e+26 3.7879e+26
8.2362e-01 7.6392e+03 7.6145e+03 4.0606e+26 3.9834e+26
8.4502e-01 7.4776e+03 7.4489e+03 3.9496e+26 3.8761e+26
8.6696e-01 7.9585e+03 7.9250e+03 3.8782e+26 3.7946e+26
8.8948e-01 8.4108e+03 8.3720e+03 4.4023e+26 4.3179e+26
9.1258e-01 8.9767e+03 8.9324e+03 4.7495e+26 4.6640e+26
9.3629e-01 8.9819e+03 8.9314e+03 4.6688e+26 4.5855e+26
9.6060e-01 9.5830e+03 9.5254e+03 4.8838e+26 4.7986e+26
9.8555e-01 9.5657e+03 9.5005e+03 5.0079e+26 4.9123e+26
1.0112e+00 9.8945e+03 9.8215e+03 5.1278e+26 5.0417e+26
1.0374e+00 1.0235e+04 1.0153e+04 5.2854e+26 5.1975e+26
1.0644e+00 1.0182e+04 1.0090e+04 5.2036e+26 5.1188e+26
1.0920e+00 1.0358e+04 1.0256e+04 5.3084e+26 5.1476e+26
1.1204e+00 1.0254e+04 1.0142e+04 5.2615e+26 5.1765e+26
1.1495e+00 1.0496e+04 1.0373e+04 5.3854e+26 5.3015e+26
1.1793e+00 1.0572e+04 1.0437e+04 5.3602e+26 5.2765e+26
1.2099e+00 1.0715e+04 1.0568e+04 5.4156e+26 5.3319e+26
1.2414e+00 1.0910e+04 1.0751e+04 5.4967e+26 5.4126e+26
1.2736e+00 1.1072e+04 1.0899e+04 5.5799e+26 5.4960e+26
1.3067e+00 1.1265e+04 1.1080e+04 5.6875e+26 5.6039e+26
1.3406e+00 1.1319e+04 1.1120e+04 5.6658e+26 5.5819e+26
1.3755e+00 1.1465e+04 1.1253e+04 5.7489e+26 5.6639e+26
1.4112e+00 1.1233e+04 1.1006e+04 5.5339e+26 5.4488e+26
1.4478e+00 1.1577e+04 1.1337e+04 5.7599e+26 5.6727e+26
1.4854e+00 1.1878e+04 1.1624e+04 5.8651e+26 5.7821e+26
1.5240e+00 1.2594e+04 1.2325e+04 6.2303e+26 6.1440e+26
1.5636e+00 1.2857e+04 1.2575e+04 6.3339e+26 6.2496e+26
1.6042e+00 1.3175e+04 1.2881e+04 6.4527e+26 6.3668e+26
1.6459e+00 1.3638e+04 1.3331e+04 6.6396e+26 6.5464e+26
1.6886e+00 1.3931e+04 1.3611e+04 6.7887e+26 6.6983e+26
1.7325e+00 1.3770e+04 1.3439e+04 6.6964e+26 6.6011e+26
1.7775e+00 1.3237e+04 1.2895e+04 6.4371e+26 6.3534e+26
1.8236e+00 1.2601e+04 1.2248e+04 6.0920e+26 5.9929e+26
1.8710e+00 1.2482e+04 1.2118e+04 6.5342e+26 5.7788e+26
1.9196e+00 1.2122e+04 1.1749e+04 5.8513e+26 5.7723e+26
1.9695e+00 1.1686e+04 1.1305e+04 5.6369e+26 5.5596e+26
2.0206e+00 1.1553e+04 1.1163e+04 5.5676e+26 5.4912e+26
2.0731e+00 1.1333e+04 1.0935e+04 5.3809e+26 5.3057e+26
2.1269e+00 1.1301e+04 1.0896e+04 5.4079e+26 5.3310e+26
2.1822e+00 1.0984e+04 1.0574e+04 5.2288e+26 5.1569e+26
2.2389e+00 1.0708e+04 1.0290e+04 5.1106e+26 5.0403e+26
2.2970e+00 9.8785e+03 9.4559e+03 4.3824e+26 4.3208e+26
2.3567e+00 8.8570e+03 8.4296e+03 3.9858e+26 3.9325e+26
2.4179e+00 8.1427e+03 7.7102e+03 3.6937e+26 3.6408e+26
2.4807e+00 7.1144e+03 6.6767e+03 3.2438e+26 3.1932e+26
2.5451e+00 6.8085e+03 6.3654e+03 3.1161e+26 3.0629e+26
2.6112e+00 7.1564e+03 6.7076e+03 3.2872e+26 3.2303e+26
2.6790e+00 7.1821e+03 6.7277e+03 3.3069e+26 3.2502e+26
2.7486e+00 7.2431e+03 6.7779e+03 3.3716e+26 3.3148e+26
2.8200e+00 7.1232e+03 6.6436e+03 3.2845e+26 3.2324e+26
2.8933e+00 6.8651e+03 6.3707e+03 3.1014e+26 3.0449e+26
2.9684e+00 6.4665e+03 5.9505e+03 2.9056e+26 2.8556e+26
3.0455e+00 6.3660e+03 5.8016e+03 2.8300e+26 2.7722e+26
3.1246e+00 6.4026e+03 5.7118e+03 2.7854e+26 2.7366e+26
3.2058e+00 7.1188e+03 5.6347e+03 2.7449e+26 2.6950e+26
3.2890e+00 9.5969e+03 5.6124e+03 2.7427e+26 2.6566e+26
3.3744e+00 8.5168e+03 5.5693e+03 2.6961e+26 2.6499e+26
3.4621e+00 8.3783e+03 5.5517e+03 2.7073e+26 2.6646e+26
3.5520e+00 6.7175e+03 5.3540e+03 2.5788e+26 2.5373e+26
3.6443e+00 5.8438e+03 5.1096e+03 2.4737e+26 2.4333e+26
3.7389e+00 5.4838e+03 4.8115e+03 2.3483e+26 2.2793e+26
